iter	Passed	Remaining
402	11129	16487
403	11151	16450
404	11173	16415
405	11195	16379
406	11216	16342
407	11235	16303
408	11260	16271
409	11283	16237
410	11304	16200
411	11328	16167
412	11349	16131
413	11373	16098
414	11395	16063
415	11419	16031
416	11443	15998
417	11463	15961
418	11488	15930
419	11508	15892
420	11528	15855
421	11551	15821
422	11572	15785
423	11592	15748
424	11615	15715
425	11638	15682
426	11662	15650
427	11684	15615
428	11707	15582
429	11736	15557
430	11761	15527
431	11789	15501
432	11818	15476
433	11848	15451
434	11879	15429
435	11912	15409
436	11949	15394
437	11977	15368
438	12003	15339
439	12030	15311
440	12066	15295
441	12104	15281
442	12146	15272
443	12183	15257
444	12215	15234
445	12245	15210
446	12272	15183
447	12304	15160
448	12335	15137
449	12368	15117
450	12398	15092
451	12436	15077
452	12469	15056
453	12500	15033
454	12534	15013
455	12565	14990
456	12594	14964
457	12624	14939
458	12657	14918
459	12687	14893
460	12716	14867
461	12749	14846
462	12778	14821
463	12809	14797
464	12844	14777
465	12873	14751
466	12908	14732
467	12937	14706
468	12966	14680
469	12999	14658
470	13029	14633
471	13068	14619
472	13105	14601
473	13137	14579
474	13172	14558
475	13205	14536
476	13234	14510
477	13261	14482
478	13290	14455
479	13317	14427
480	13339	14393
481	13364	14362
482	13396	14339
483	13424	14312
484	13450	14282
485	13476	14252
486	13502	14223
487	13529	14194
488	13554	14164
489	13582	14136
490	13609	14108
491	13638	14081
492	13663	14051
493	13688	14020
494	13709	13986
495	13730	13952
496	13752	13918
497	13774	13884
498	13800	13855
499	13823	13823
500	13851	13796
501	13878	13767
502	13905	13739
503	13931	13709
504	13957	13681
505	13977	13646
506	13998	13611
507	14024	13582
508	14054	13557
509	14084	13531
510	14111	13504
511	14135	13472
512	14161	13443
513	14186	13414
514	14214	13386
515	14241	13358
516	14264	13326
517	14288	13295
518	14317	13268
519	14344	13241
520	14372	13214
521	14401	13187
522	14429	13160
523	14456	13132
524	14482	13102
525	14508	13074
526	14530	13041
527	14553	13010
528	14575	12977
529	14597	12944
530	14619	12912
531	14643	12881
532	14663	12847
533	14690	12819
534	14718	12792
535	14745	12764
536	14773	12738
537	14800	12709
538	14828	12682
539	14851	12651
540	14874	12619
541	14899	12590
542	14921	12558
543	14951	12532
544	14979	12505
545	15005	12477
546	15037	12453
547	15071	12431
548	15099	12403
549	15126	12376
550	15150	12345
551	15176	12317
552	15200	12286
553	15227	12259
554	15252	12229
555	15276	12199
556	15298	12167
557	15320	12135
